Collection,Product,Print,Color,Fabric Type,Fabric Pattern,Product Type,Length,Length in inches,NA,Closure,Product Description,Fabric Description,Size & Fit,MRP,Discountd price (Max),Total quantity,size s quantity,size m quantity,size L,SIZE XL
1,Scrunch Mini Dress,Gulawat,Indigo,Cotton,Floral,Dress,Mini,32,Sleeveless,"String, Elastic",Delicate strappy sleeves. Soft sweetheart neckline. Subtle open back. Feminine A-line silhouette. This is the sweetest dress for every sunny day. Plus it comes with matching shorts so the wind isn't your enemy.,,Model is wearing size S,2199,1999,2,,,1,
1,Plunge Neck Kurti Corset,,"Green, Black",Mul,Tie Dye,Top,Long,23,Sleeveless,String,Deep V-shaped plunge neck. Unapologetically figure hugging. Strung and backless. This top is alarmingly sexy. Plus support from the adjustable back and lined fabric means that you can go bra-free comfortably.,,v,1699,1499,1,1,,,
1,Plunge Neck Kurti Corset,,Blue,Cotton,Floral,,Long,23,Sleeveless,String,Deep V-shaped plunge neck. Unapologetically figure hugging. Strung and backless. This top is alarmingly sexy. Plus support from the adjustable back and lined fabric means that you can go bra-free comfortably.,,Model is wearing size S,1699,1499,2,1,2,,
1,Drawstring Pants,Rayala,Red,Cotton,Solid Colour,Pants,Maxi,41,,"String, Elastic",Gorgeous scrunched waistline. Beaded drawstrings. Earthy red. These pants are just nonchalantly cool. ,,Model is wearing size S,1499,1299,1,1,,,
1,Plain Boat Neck Top,Rayala,Red,Cotton,Solid Colour,Top,Long,18,Sleeveless,Zip,Comfortably Fitted. Comfortably red. Extremely versatile. The sauce lies in its simplicity. Goes great with our red striped trousers.,,Model(5'5'')is wearing size S with custom length 41,899,799,2,2,,,
1,Back Pocket Trousers,Sanchi,"Brick Red, Brown",Cotton,Stripes,Pants,Maxi,41,,"Hooks, Zip",Well-fitted straight trousers. Cool wide cuffs. Even cooler Back pockets. ,,Model(5'9'')is wearing size S with custom length 44,2399,2199,1,1,,,
1,Pick Pocket Trousers,Jahangiri,"Red, Off White",Cotton,Stripes,Pants,Maxi,41,,"Hooks, Zip",Well-fitted straight trousers. Cool wide cuffs. Even cooler Back pockets. ,,Model is wearing size S,2399,2199,1,1,,,
1,Shirt,Tadoba,"Red, White",Cotton,Animal,Shirt,Short,23,Half Sleeves,Buttons,Slight drop-shoulders. Boxy fit. Quirky print. This short shirt is a staple that goes a long way.,,Model is wearing size S,1499,1299,2,1,,1,
1,Shirt,Dilli,Green,Cotton,Motif,Shirt,Short,23,Half Sleeves,Buttons,Slight drop-shoulders. Boxy fit. Quirky print. This short shirt is a staple that goes a long way.,,Mosel is wearing size S,1499,1299,1,1,,,
1,Shirt,Banerjee,Indigo,Cotton,Motif,Shirt,Short,23,Half Sleeves,Buttons,Slight drop-shoulders. Boxy fit. Quirky print. This short shirt is a staple that goes a long way.,,Model is wearing size S,1499,1299,NO STOCK,,,,
1,Plain Kurti,Ellora,Black,Cotton,Floral,Kurti,Long,37,Sleeveless,,Desi Neckline. White detailing. Simple. Elegant. Comfortable. ,,Model is wearing size S,1399,1199,1,1,,,
1,V Neck Kurti,Aravalli,Brown,Cotton,,Kurti,Short,28,3/4th Sleeves,,Beautiful wide borders. Delicate embroidery. Earthy tones. This simple short kurti is sensible AND good-looking.,,Model is wearing size S,1499,1299,1,1,,,
1,Jasmine Top,Periyar,Black,Cotton,,Top,Long,23,"3/4th Sleeves, Puff Sleeves",Zip,Dramatic puff sleeves. Sweetheart neckline. Fitted body. This top will modestly catch eyes in every room. ,,Model is wearing size S,1399,1199,2,1,,1,
1,Jasmine Top,Gulawat,Indigo,Cotton,,Top,Long,23,"3/4th Sleeves, Puff Sleeves",Zip,Dramatic puff sleeves. Sweetheart neckline. Fitted body. This top will modestly catch eyes in every room. ,,Model is wearing size S,1399,1199,OUT OF STOCK,,,,
1,Vest with Bows,Tadoba,Red,Cotton,,"Top, Jacket",Short,19,Sleeveless,String,Cute bows. Angled hem. Fun print. This vest is the perfect match of masculine and feminine. ,,Model is wearing size S,1099,899,1,,,1,
1,Vest with Bows,Periyar,Black,Cotton,,"Top, Jacket",Short,19,Sleeveless,String,Cute bows. Angled hem. Fun print. This vest is the perfect match of masculine and feminine. ,,Model is wearing size S,1099,899,2,1,,1,
1,Lacy vest top,Rann,White,Cotton,Solid Colour,"Top, Jacket",Short,16,Sleeveless,Hooks,Graceful lace detailing. Femininely fitted. This vest is designed to be styled in different ways by simply hooking or unhooking hooks as you please.  ,,Model is wearing size S,1299,1199,1,1,,,
1,Hippie Tied Top,Anjuna,"White, Orange",Mul,Tie Dye,"Top, Shrug",Cropped,15,"Full Sleeves, Flared Sleeves",,Dramatic flared sleeves. Customizable silhouette.  Bright and happy. Cropped to perfection. This top is a hippie's playground.,,Model is wearing size S,1399,1199,1,1,,,
1,Classic cover Top,Dilli,Green,Cotton,Motif,"Top, Shrug",Short,23,"Full Sleeves, Flared Sleeves",String,"Wide neck that flatters your collarbones. Flared sleeves. Playful print. Tied with a singular dainty bow and angled to perfection, this top flirts with your waist in the best way possible. Perfect for post-beach plans and vacations.",,Model is wearing size S,1099,999,1,1,,1,
1,3 string cover Top,Palolem,"Blue, White",Mul,Tie Dye,"Top, Shrug",Short,23,"Full Sleeves, Flared Sleeves",String,"Tied with 3 Statement Bows. Flared sleeves. Angled hem. Made with soft sheer mul-mul, this top acts as the most flattering beach cover or shrug. ",,Model is wearing size S,1199,999,1,1,,,
1,Ruffled Top,Tealest,Teal,Cotton,Floral,Top,Short,,,"String, Hooks",,,,,,2,1,,1,
1,Lounge Shorts,Tadoba,Red,Cotton,Animal,Shorts,Mini,11,,"String, Elastic",Layered waistline. Fun Print. These shorts look as good dressed up as they feel in bed.,,Model is wearing size S,999,899,1,1,,,
1,Lounge Shorts,Pondi,Red,Cotton,Stripes,Shorts,Mini,11,,String,Layered waistline. Fun Print. These shorts look as good dressed up as they feel in bed.,,Model is wearing size S,999,899,OUT OF STOCK,,,,
1,Stole,Qila,"Red, Black",Mul,,Accessory,,72 by 22,,,"Scarf, Dupatta, Headband - This piece of cloth is a blank canvas for all you playful outfit curators. ",,,300,No discount,1,,,,
1,Stole,Gulawat,Indigo,"Mul, Cotton",,Accessory,,21 by 21,,,"Scarf, Dupatta, Headband - This piece of cloth is a blank canvas for all you playful outfit curators. ",,,300,No discount,OUT OF STOCK,,,,
1,Bandana,Chilpi,Green,Cotton,Motif,Accessory,,21 by 21,,,This piece of cloth is a blank canvas for all you playful outfit curators. ,,,159,No discount,OUT OF STOCK,,,,
1,Bandana,Loktak,Green,Cotton,Floral,Accessory,,21 by 21,,,This piece of cloth is a blank canvas for all you playful outfit curators.,,,159,No discount,OUT OF STOCK,,,,
1,Bandana,Thar,"Black, Red",Modal,,Accessory,,21 by 21,,,This piece of cloth is a blank canvas for all you playful outfit curators.,,,159,No discount,1,,,,
1,Bandana,Patiala,Black,Cotton,Floral,Accessory,,21 by 21,,,This piece of cloth is a blank canvas for all you playful outfit curators.,,,159,No discount,1,,,,
1,Bandana,Dilli,Green,Cotton,Motif,Accessory,,21 by 21,,,This piece of cloth is a blank canvas for all you playful outfit curators.,,,159,No discount,1,,,,
1,Patchwork Bag,Mixed,Multicolour,Cotton,Patchwork,Accessory,,,,,"Funky Patchwork. Hand embroidered. Personality packed. Each bag is a unique piece of art, handmade with scraps so that nothing ends up in the landfill.",,,1199,No discount,1,,,,
1,Tie,Mixed,Multicolour,Cotton,Patchwork,Accessory,,,,,"Funky Patchwork. Hand embroidered. Personality packed. Each tie is a unique piece of art, handmade with scraps so that nothing ends up in the landfill.",,,399,No discount,1,,,,
1,Tie,,"Brick Red, Brown",Cotton,Stripes,Accessory,,,,,,,,399,No discount,1,,,,
